date,maxt,mint,rain,year,month,source_file
1978-07-01,17.62,10.42,62.1,1978.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1978-08-01,17.8,11.0,57.92,1978.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1978-09-01,16.68,10.26,73.38,1978.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1978-10-01,14.48,8.4,48.96,1978.0,10.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1978-11-01,10.78,5.08,72.92,1978.0,11.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1978-12-01,6.04,1.8,149.94,1978.0,12.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1979-01-01,3.2400000000000007,-2.56,74.5,1979.0,1.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1979-02-01,3.78,-0.62,43.6,1979.0,2.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1979-03-01,7.040000000000001,1.12,127.28000000000002,1979.0,3.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1979-04-01,10.580000000000002,3.94,58.44,1979.0,4.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1979-05-01,13.059999999999999,5.220000000000001,98.56,1979.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1979-06-01,17.5,9.58,48.54,1979.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1979-07-01,19.240000000000002,11.48,33.46,1979.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1979-08-01,17.94,10.379999999999999,82.12,1979.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1979-09-01,16.44,8.78,49.38,1979.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1979-10-01,13.84,7.659999999999999,79.4,1979.0,10.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1979-11-01,9.48,3.3,94.96,1979.0,11.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1979-12-01,7.340000000000001,2.8600000000000003,124.0,1979.0,12.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1980-01-01,5.0,0.32,69.66,1980.0,1.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1980-02-01,7.88,2.6,65.9,1980.0,2.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1980-03-01,7.6,1.5799999999999998,85.11999999999999,1980.0,3.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1980-04-01,12.74,4.64,15.080000000000002,1980.0,4.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1980-05-01,15.319999999999999,5.9399999999999995,30.880000000000003,1980.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1980-06-01,16.86,9.58,115.44000000000001,1980.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1980-07-01,17.66,10.4,69.64,1980.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1980-08-01,18.919999999999998,11.5,70.88,1980.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1980-09-01,17.44,10.8,74.78,1980.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1980-10-01,11.66,5.4,114.17999999999999,1980.0,10.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1980-11-01,8.84,4.08,91.6,1980.0,11.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1980-12-01,8.16,2.82,75.22,1980.0,12.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1981-01-01,7.44,1.7399999999999998,61.879999999999995,1981.0,1.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1981-02-01,6.08,0.9,55.32000000000001,1981.0,2.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1981-03-01,9.92,4.18,119.42,1981.0,3.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1981-04-01,11.18,3.6800000000000006,57.580000000000005,1981.0,4.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1981-05-01,14.919999999999998,7.1,64.53999999999999,1981.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1981-06-01,16.46,9.180000000000001,52.160000000000004,1981.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1981-07-01,18.68,11.26,43.56,1981.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1981-08-01,19.759999999999998,11.42,53.04,1981.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1981-09-01,17.78,10.16,132.12,1981.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1981-10-01,10.780000000000001,4.2,111.42,1981.0,10.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1981-11-01,10.16,4.220000000000001,91.26,1981.0,11.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1981-12-01,3.6,-1.7,75.06,1981.0,12.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1982-01-01,5.76,0.039999999999999945,71.46000000000001,1982.0,1.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1982-02-01,7.7,2.2800000000000002,48.96,1982.0,2.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1982-03-01,9.440000000000001,2.4,93.92,1982.0,3.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1982-04-01,12.959999999999999,4.4399999999999995,22.02,1982.0,4.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1982-05-01,15.7,6.12,41.68,1982.0,5.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1982-06-01,18.18,10.62,100.54,1982.0,6.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1982-07-01,19.96,11.620000000000001,23.240000000000002,1982.0,7.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1982-08-01,18.919999999999998,11.3,89.66,1982.0,8.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1982-09-01,17.380000000000003,9.42,74.56,1982.0,9.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1982-10-01,12.7,6.840000000000001,91.74000000000001,1982.0,10.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1982-11-01,9.52,4.4399999999999995,117.7,1982.0,11.0,"Armagh, Durham, Oxford, Sheffield, Stornoway"
