date,maxt,mint,rain,year,month,stations_used
1899-05-01,13.459999999999999,4.9399999999999995,67.84,1899,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1899-06-01,19.82,9.36,50.9,1899,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1899-07-01,20.56,12.040000000000001,56.220000000000006,1899,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1899-08-01,21.86,11.540000000000001,36.8,1899,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1899-09-01,16.520000000000003,8.68,104.92,1899,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1899-10-01,13.280000000000001,4.92,72.64,1899,10,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1899-11-01,11.28,5.5200000000000005,89.26,1899,11,"Armagh, Durham, Oxford, Sheffield, Stornoway"
1899-12-01,5.3,0.26,81.94,1899,12,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/01/1900,6.659999999999999,1.6800000000000002,86.24,1900,1,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/02/1900,5.0600000000000005,-0.86,98.1,1900,2,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/03/1900,6.6,0.5599999999999999,27.46,1900,3,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/04/1900,12.379999999999999,3.6799999999999997,45.2,1900,4,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/05/1900,13.680000000000001,5.62,50.96,1900,5,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/06/1900,18.28,9.68,76.96000000000001,1900,6,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/07/1900,20.78,12.22,61.620000000000005,1900,7,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/08/1900,18.28,10.379999999999999,96.62,1900,8,"Armagh, Durham, Oxford, Sheffield, Stornoway"
01/09/1900,17.28,8.6,59.08,1900,9,"Armagh, Durham, Oxford, Sheffield, Stornoway"
