YEAR,MONTH,us_tavg_f,us_tmax_f,us_tmin_f,n_stations
1963,2,30.120851306070982,42.002917064492884,18.238785547649073,488
1963,3,44.31726610529222,56.4176744525825,32.21685775800193,484
1963,4,53.759433302353486,66.32363082048266,41.195235784224295,486
1963,5,61.5868449012206,74.17468671013967,48.99900309230155,487
1963,6,71.08603121416458,83.66476318743439,58.507299240894774,488
1963,7,74.4863800256645,87.04779208979728,61.92496796153172,485
1963,8,72.51358555390917,85.09465639852276,59.93251470929556,489
1963,9,66.50334989024995,79.34053006409673,53.66616971640316,487
1963,10,61.25901017362684,75.80515684191528,46.71286350533842,486
1963,11,45.30178362851541,56.57068559780811,34.03288165922272,483
1963,12,25.162216462515673,35.06795591011618,15.256477014915161,480
1964,1,32.01306749038835,43.1909363611685,20.835198619608207,480
1964,2,31.824021313488554,43.0791634668014,20.56887916017571,486
1964,3,39.17718072449427,51.059015924051344,27.295345524937193,484
1964,4,52.940375094121876,64.84426069364771,41.03648949459605,491
1964,5,64.10201649955525,76.96336822858177,51.24066477052871,487
1964,6,70.1469157229618,82.6217307089227,57.672100737000896,488
1964,7,75.61215021425977,88.21545721758625,63.00884321093331,481
1964,8,71.25815655365466,83.77472940395971,58.741583703349605,484
1964,9,64.90878594472403,77.50103668442321,52.31653520502486,484
1964,10,53.531954516907085,67.50903615215834,39.55487288165581,482
1964,11,44.26293953596691,55.64003473301124,32.885844338922574,480
1964,12,31.338470159334673,40.87473154689683,21.802208771772516,483
1965,1,29.511873692885096,40.214206093230565,18.80954129253963,485
1965,2,30.648980380225833,42.13553265068265,19.162428109769017,484
1965,3,34.48584116321034,44.8827111979772,24.08897112844347,484
1965,4,52.470975987853144,64.08989423234812,40.85205774335817,480
1965,5,64.0658088022432,76.68972989169666,51.441887712789736,479
1965,6,68.72707605564041,80.57683444306103,56.87731766821979,483
1965,7,73.28329033197052,85.65723668425976,60.90934397968127,486
1965,8,72.04738934062027,84.53019970459984,59.56457897664071,484
1965,9,63.55385210212004,74.60522877837732,52.50247542586274,479
1965,10,55.28473805194196,68.3741458198704,42.19533028401351,480
